,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Mar 2009,824,25.67%,726,58%,8%,9%,14%,98,12%,41,9,23,107,33%,72,4.01,27%,100,11.98,250,82,349,166,25,158,693,159,338,179,29,136,369,149,116,8,107,-11,693,500355,0,88.00,
Mar 2010,864,4.86%,715,54%,9%,8%,11%,149,17%,28,6,18,153,34%,101,5.22,23%,13,12.96,411,8,304,206,48,51,737,153,309,156,112,140,332,149,76,12,115,-20,737,500355,0,-0.00,
Mar 2011,1068,23.60%,873,55%,9%,7%,10%,195,18%,14,7,17,184,31%,126,6.48,31%,19,19.45,485,117,395,268,43,81,1017,348,523,174,159,26,484,229,106,15,51,83,1017,500355,2,-0.00,
Mar 2012,1245,16.59%,1041,56%,9%,8%,11%,203,16%,-8,17,29,149,33%,99,5.10,43%,19,19.45,534,154,414,247,70,96,1121,517,706,189,60,23,522,272,104,11,68,67,1121,500355,1,-0.00,
Mar 2013,1423,14.37%,1211,62%,8%,7%,8%,213,15%,12,21,32,172,31%,119,6.12,38%,19,19.45,601,131,438,250,68,114,1190,555,751,195,35,20,580,267,165,26,54,69,1190,500355,5,-0.00,
Mar 2014,1693,18.95%,1429,60%,9%,7%,9%,264,16%,6,15,41,214,29%,152,7.81,31%,19,19.45,699,77,502,305,63,124,1297,604,837,233,21,25,647,330,168,9,55,85,1297,500355,10,-0.00,
Mar 2015,1738,2.64%,1458,57%,10%,8%,10%,280,16%,3,12,50,222,28%,157,8.08,31%,19,19.45,795,125,496,288,62,136,1436,595,872,277,26,24,790,394,248,7,48,93,1436,500355,10,-0.00,
Mar 2016,1529,-12.01%,1298,56%,8%,9%,12%,231,15%,14,16,44,186,21%,143,7.37,34%,19,19.45,869,90,506,274,142,86,1484,564,607,43,40,28,851,403,228,8,104,109,1484,500355,4,-0.00,
Mar 2017,1664,8.79%,1398,52%,11%,9%,12%,266,16%,171,9,48,380,22%,297,15.30,25%,19,19.45,1092,39,559,329,74,156,1709,574,665,91,42,239,854,394,264,9,112,75,1709,500355,0,-0.00,
Mar 2018,1791,7.66%,1524,52%,12%,9%,11%,267,15%,13,7,46,227,26%,168,8.62,29%,19,19.45,1171,25,763,526,76,160,1978,574,709,136,47,96,1261,572,400,33,194,62,1978,500355,1,-0.00,
Mar 2019,1984,10.78%,1740,55%,12%,9%,11%,244,12%,31,8,46,220,30%,155,7.99,31%,19,19.45,1266,73,804,535,83,184,2163,581,750,169,51,109,1422,674,449,46,191,62,2163,500355,2,-0.00,
Mar 2020,2252,13.50%,1989,59%,10%,9%,10%,263,12%,46,10,62,237,23%,185,9.50,26%,19,19.45,1390,80,959,637,105,216,2448,593,840,247,76,302,1477,699,451,49,138,141,2448,500355,1,-0.00,
TTM,2268,,1977,,,,,291,13%,57,6,67,276,,214,10.98,,,,,,,,,,,,,,,,,,,,,,,500355,,,
Sep 2020,,,,,,,,,,,,,,,,,,19,19.45,1519,50,1073,758,,315,2661,674,,,37,366,1584,694,512,103,11,264,2661,500355,1,,
Mar 2014,113,,100,47.44%,20.70%,12.59%,8.28%,12,11%,2,3,2,9,35%,6,3.30,36%,17,17.26,16,46,18,9.58,0.15,8.76,98,20,43,22,2,0,76,34.52,28.72,0.36,8.87,3.53,98,513532,0.00,,
Mar 2015,141,25.15%,123,45.77%,20.17%,13.46%,7.57%,18,13%,2,4,3,13,34%,8,4.79,25%,17,17.26,21,72,48,26.49,0.05,17.80,158,47,71,24,7,-0,104,42.93,43.74,2.34,9.63,5.57,158,513532,4.01,,
Mar 2016,143,1.02%,132,44.08%,22.34%,19.42%,6.53%,11,8%,2,8,5,0,287%,1,0.43,138%,17,17.26,20,87,32,11.96,0.06,16.00,156,59,87,28,3,-0,94,37.89,33.05,3.86,13.16,6.48,156,513532,4.18,,
Mar 2017,132,-7.57%,121,41.02%,24.77%,17.76%,8.13%,11,8%,-0,6,4,-0,-2038%,1,0.67,-0%,17,17.26,21,93,36,17.45,0.09,17.99,168,62,67,5,7,-0,98,34.11,43.69,4.13,10.28,6.13,168,513532,0.91,,
Mar 2018,162,23.00%,143,39.85%,23.45%,15.79%,9.31%,19,12%,2,7,6,8,44%,5,2.62,-0%,17,17.27,22,93,32,15.75,0.05,16.41,164,62,74,12,3,-0,99,38.12,42.24,2.30,10.19,5.89,164,513532,0.00,,
Mar 2019,191,18.16%,164,42.87%,21.05%,14.07%,7.61%,28,14%,1,8,6,14,34%,9,5.41,18%,17,17.27,30,97,37,17.81,0.03,18.80,180,61,76,15,11,-0,108,42.54,45.26,4.20,10.35,5.64,180,513532,0.00,,
Mar 2020,195,1.97%,167,43.38%,20.92%,15.04%,6.13%,28,15%,-1,8,8,12,35%,8,4.44,23%,17,17.27,32,87,29,12.00,0.00,16.61,165,68,94,26,2,-0,94,40.15,41.12,2.23,5.07,5.84,165,513532,0.00,,
TTM,167,,141,,,,,26,15%,-4,6,8,9,,4,2.58,,,,,,,,,,,,,,,,,,,,,,,513532,,,
Sep 2020,,,,,,,,,,,,,,,,,,17,17.27,34,51,50,12.92,,36.90,152,62,,,2,1,87,38.25,34.30,2.24,0.60,11.36,152,513532,0.00,,
Mar 2006,0.11,,0.14,-0.00%,-0.00%,90.91%,36.36%,-0.03,-27.27%,0.05,0.00,0.00,0.02,50.00%,0.01,0.03,0.00%,3.01,3.01,-0.79,0.00,0.04,,,0.04,2.26,0.02,0.06,0.04,0.00,0.28,1.96,,0.52,1.04,0.41,-0.01,2.26,539947,,,
Mar 2015,0.15,,0.12,20.00%,-0.00%,26.67%,33.33%,0.03,20.00%,0.03,0.00,0.00,0.06,33.33%,0.04,0.13,0.00%,3.01,3.01,3.10,0.00,0.03,,,0.03,6.14,0.00,0.00,0.00,0.00,0.35,5.79,,0.00,4.66,1.13,0.00,6.14,539947,,,
Mar 2016,0.28,87%,0.18,-0.00%,17.86%,35.71%,10.71%,0.10,35.71%,0.00,0.00,0.00,0.10,20.00%,0.08,0.27,0.00%,3.01,3.01,3.17,1.36,0.09,,,0.09,7.63,0.00,0.03,0.03,0.00,5.04,2.59,,0.00,0.03,2.55,0.01,7.63,539947,,,
Mar 2017,0.07,-75%,0.58,-0.00%,57.14%,171.43%,600.00%,-0.51,-728.57%,0.00,0.00,0.00,-0.51,9.80%,-0.45,-1.50,0.00%,3.01,3.01,2.72,0.12,0.03,,,0.03,5.88,0.00,0.00,0.00,0.00,5.71,0.17,,0.00,0.00,0.17,0.00,5.88,539947,,,
Mar 2018,0.21,200%,0.19,-0.00%,23.81%,42.86%,23.81%,0.02,9.52%,0.00,0.00,0.00,0.02,-500.00%,0.12,0.40,0.00%,3.01,3.01,3.35,1.79,0.05,,,0.05,8.20,0.00,0.00,0.00,0.00,5.97,2.23,,0.00,0.42,0.06,1.75,8.20,539947,,,
Mar 2019,0.48,129%,0.24,-0.00%,10.42%,27.08%,12.50%,0.24,50.00%,0.00,0.00,0.00,0.24,66.67%,0.09,0.30,0.00%,3.01,3.01,3.79,0.00,0.30,,,0.30,7.10,0.00,0.00,0.00,0.00,6.98,0.12,,0.00,0.11,0.02,-0.01,7.10,539947,,,
Mar 2020,1.34,179%,0.20,-0.00%,5.97%,5.22%,3.73%,1.14,85.07%,0.00,0.00,0.00,1.14,-14.04%,1.30,4.32,0.00%,3.01,3.01,4.18,0.00,0.24,,,0.24,7.43,0.00,0.00,0.00,0.00,7.10,0.33,,0.00,0.00,0.27,0.06,7.43,539947,,,
TTM,0.00,,0.18,,,,,-0.18,,0.41,0.00,0.00,0.23,,0.04,0.13,,,,,,,,,,,,,,,,,,,,,,,539947,,,
