,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2015,36.77,-2.23%,34.39,66%,16%,2%,9%,2.38,6.47%,0.01,1.33,0.56,0.50,38.00%,0.30,1.00,0.00%,3.00,3.00,3.40,9.79,4.06,3.18,0.46,0.42,20.25,2.56,5.71,3.15,0.00,0.07,17.62,7.54,8.38,0.61,1.09,0.00,20.25,NSE - SM : JETKNIT,,,
Mar 2016,38.54,4.81%,36.09,66%,14%,2%,11%,2.45,6.36%,-0.04,1.23,0.56,0.62,33.87%,0.41,1.37,0.00%,3.00,3.00,3.94,11.81,3.23,2.76,0.00,0.47,21.98,2.16,5.78,3.62,0.00,0.00,19.82,5.92,9.90,2.49,1.33,0.18,21.98,NSE - SM : JETKNIT,,,
Mar 2017,42.58,10.48%,39.75,83%,1%,2%,8%,2.83,6.65%,0.05,1.11,0.57,1.20,34.17%,0.79,1.93,0.00%,4.08,4.08,7.86,8.88,4.07,2.21,0.93,0.93,24.89,2.22,6.40,4.19,0.00,0.00,22.67,4.91,13.99,1.27,2.01,0.49,24.89,NSE - SM : JETKNIT,,,
Mar 2018,42.58,0.00%,39.37,79%,1%,3%,10%,3.21,7.54%,0.02,0.99,0.62,1.62,25.93%,1.20,2.94,0.00%,4.41,4.41,10.53,10.14,5.27,3.26,1.00,1.01,30.35,2.58,7.38,4.81,0.00,0.00,27.77,8.11,16.64,1.44,1.58,0.00,30.35,NSE - SM : JETKNIT,,,
Mar 2019,45.92,7.84%,42.25,76%,1%,3%,13%,3.67,7.99%,0.01,1.10,0.57,2.01,27.36%,1.45,3.55,0.00%,4.41,4.41,11.98,10.18,7.39,5.15,0.76,1.48,33.96,2.52,7.90,5.38,0.00,0.00,31.44,9.63,18.69,0.73,2.39,0.00,33.96,NSE - SM : JETKNIT,,,
Mar 2020,43.33,-5.64%,39.37,75%,1%,3%,12%,3.96,9.14%,0.00,1.21,0.60,2.15,28.84%,1.53,3.75,0.00%,4.41,4.41,13.51,10.02,6.74,3.03,0.53,3.18,34.68,2.34,8.32,5.98,0.00,0.00,32.34,10.68,16.99,2.80,1.87,0.00,34.68,NSE - SM : JETKNIT,,,
Mar 2009,2449,19.30%,2275,68%,6%,9%,10%,175,7%,43,58,30,130,36%,85,8.06,27%,21,21.15,781,398,1231,740,266,224,2431,370,557,187,71,277,1714,236,812,53,627,-15,2431,500241,,2,
Mar 2010,2651,8.24%,2387,65%,6%,8%,11%,265,10%,29,64,38,191,41%,113,14.22,43%,16,15.85,765,452,1290,719,294,272,2522,487,722,235,29,11,1995,283,812,120,794,-14,2522,500241,,4,
Mar 2011,2656,0.18%,2401,61%,9%,10%,11%,255,10%,7,57,46,159,39%,97,12.23,31%,16,15.87,834,391,1313,672,198,437,2553,491,765,274,26,5,2032,327,619,81,690,315,2553,500241,,5,
Mar 2012,2541,-4.34%,2406,62%,8%,12%,13%,135,5%,49,63,46,75,33%,49,6.15,35%,16,15.87,866,376,1133,566,141,419,2390,490,795,305,43,2,1856,360,514,36,727,219,2390,500241,,7,
