,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2010,28,-13%,24,1%,78%,2%,3%,4,15%,-0,0,4,0,210%,-0,-0.28,0%,4,3.85,8,4,13,7.02,0.00,6.12,29,22,43.08,21.10,1,1,6,0.74,2.01,0.76,2.40,0.00,29,514316,,,
Mar 2011,36,30%,32,0%,83%,2%,3%,4,11%,0,0,4,0,80%,0,0.08,0%,4,3.85,8,4,12,7.40,0.00,4.56,27,20,43.38,23.47,0,1,7,0.94,2.48,0.53,2.86,0.00,27,514316,,,
Mar 2012,44,22%,40,55%,30%,3%,3%,4,9%,0,0,4,0,54%,0,0.44,0%,4,3.85,8,2,12,10.52,0.00,1.79,27,17,43.83,26.47,0,1,9,1.04,4.50,0.34,2.08,0.73,27,514316,,,
Mar 2013,50,14%,48,60%,29%,3%,3%,2,5%,5,0,4,3,9%,3,7.79,0%,4,3.85,11,3,7,4.30,1.55,1.22,25,15,44.03,28.92,2,0,8,1.58,0.37,1.31,2.00,2.47,25,514316,,,
Mar 2014,39,-23%,35,40%,43%,4%,4%,3,9%,0,0,3,1,41%,0,1.11,0%,4,3.85,12,3,10,8.68,0.04,1.05,28,17,46.52,29.94,1,0,10,1.99,2.07,1.88,1.32,3.01,28,514316,,,
Mar 2015,47,20%,44,48%,37%,6%,3%,2,5%,0,0,2,1,63%,0,0.83,0%,4,3.85,12,3,12,9.24,1.21,1.29,31,20,51.05,31.42,0,0,11,2.34,0.18,2.80,1.50,4.00,31,514316,,,
Mar 2016,43,-8%,40,44%,38%,9%,3%,3,6%,1,0,2,1,46%,0,1.08,0%,4,3.85,12,3,10,7.49,1.63,1.37,29,18,51.17,33.08,0,0,11,1.75,0.35,1.27,1.47,5.90,29,514316,,,
Mar 2017,42,-2%,39,42%,38%,10%,4%,2,6%,1,0,2,1,49%,0,1.21,0%,4,3.85,13,1,12,9.53,0.03,2.06,29,15,16.15,1.26,0,0,15,1.51,1.03,3.26,6.35,2.40,29,514316,,,
Mar 2018,38,-9%,33,23%,52%,10%,4%,4,12%,1,1,3,1,57%,1,1.55,0%,4,3.85,13,14,12,6.28,2.22,3.05,43,28,29.85,1.53,0,0,15,1.72,1.20,1.12,9.93,0.66,43,514316,,,
Mar 2019,57,51%,52,40%,39%,8%,4%,5,9%,2,0,4,3,27%,2,5.75,0%,4,3.85,16,13,19,11.71,2.61,4.28,51,28,33.40,5.16,1,0,22,4.88,1.72,0.47,12.33,2.96,51,514316,,,
Mar 2020,92,61%,86,58%,0%,9%,26%,6,7%,2,1,4,3,29%,2,6.40,0%,4,3.85,18,14,40,12.53,,27.08,75,34,,,0,0,41,20.76,4.63,1.36,0.70,13.63,75,514316,,,
TTM,112,,106,,,,,6,6%,4,1,4,5,,4,10.30,,,,,,,,,,,,,,,,,,,,,,,514316,,,
Sep 2020,,,,,,,,,,,,,,,,,,4,3.85,20,15,33,11.71,,21.05,72,32,,,1,0,39,22.14,2.94,1.21,0.70,11.98,72,514316,,,
Mar 2009,101,-2.34%,60,26.52%,3.66%,7.60%,21.70%,41,41%,8,31,3,15,37%,7,0.49,41%,26,13.55,181,325,159,26,0,49,678,98,103,5,27,224,329,234,12,15,70,-3,678,532848,12.24,84,
Mar 2010,132,31.07%,86,11.69%,12.77%,14.96%,25.77%,46,35%,11,31,6,21,39%,12,0.72,35%,29,16.72,231,270,152,23,0,58,670,100,110,10,30,172,368,188,5,46,135,-6,670,532848,12.23,71,
Mar 2011,376,183.87%,188,27.32%,2.07%,6.47%,14.25%,188,50%,6,16,6,172,4%,166,8.21,4%,32,20.18,559,185,182,13,19,91,946,192,207,15,82,163,509,249,3,64,152,41,946,532848,12.24,59,
Mar 2012,365,-2.94%,264,42.46%,2.72%,8.74%,18.52%,101,28%,13,11,6,96,30%,50,2.24,16%,35,22.56,729,455,213,9,0,108,1420,132,155,23,411,134,742,317,65,132,185,42,1420,532848,12.24,96,
Mar 2013,425,16.57%,335,46.62%,3.24%,8.43%,20.54%,90,21%,18,15,8,85,40%,29,1.29,19%,23,22.69,751,485,276,9,0,105,1534,349,379,31,522,114,550,237,15,47,203,49,1534,532848,0.00,162,
Mar 2014,559,31.30%,434,39.26%,4.66%,8.71%,24.99%,125,22%,42,33,17,117,44%,35,1.55,16%,23,22.76,753,352,167,18,0,96,1295,760,809,49,99,105,331,72,67,55,79,57,1295,532848,0.00,52,
Mar 2015,300,-46.30%,237,6.85%,13.95%,17.56%,40.62%,63,21%,6,51,35,-17,-64%,-23,-0.99,-232%,23,23.07,742,337,116,17,0,74,1218,854,934,80,4,108,252,70,23,21,98,41,1218,532848,0.00,24,
Mar 2016,375,25.07%,255,6.74%,10.36%,15.75%,34.99%,121,32%,12,41,36,56,36%,38,1.66,12%,23,23.07,812,243,117,15,2,73,1195,861,981,120,3,83,249,71,14,23,127,14,1195,532848,0.00,27,
Mar 2017,455,21.18%,294,5.80%,9.45%,14.10%,35.28%,161,35%,9,35,36,99,28%,74,3.18,11%,23,23.16,897,221,116,13,3,84,1257,852,995,143,1,98,307,70,4,31,182,19,1257,532848,0.00,16,
Mar 2018,608,33.65%,361,4.97%,7.62%,15.58%,31.29%,246,41%,30,10,37,228,32%,156,5.81,17%,27,26.76,1656,2,299,15,5,265,1984,1224,1403,180,4,422,334,70,8,123,132,-0,1984,532848,0.00,14,
Mar 2019,798,31.29%,483,4.27%,6.17%,13.81%,36.34%,314,39%,36,2,38,311,37%,197,7.26,9%,27,27.09,1915,0,129,12,1,107,2071,1229,1444,214,13,445,383,96,7,74,193,14,2071,532848,0.00,8,
Mar 2020,773,-3.06%,498,5.00%,6.09%,14.52%,38.73%,276,36%,34,5,49,256,28%,186,6.85,22%,27,27.09,1928,42,126,19,0,103,2123,1286,1546,260,7,505,325,107,0,96,87,35,2123,532848,0.00,3,
TTM,473,,424,,,,,49,10%,27,6,53,17,,1,0.01,,,,,,,,,,,,,,,,,,,,,,,532848,,,
Sep 2020,,,,,,,,,,,,,,,,,,27,26.68,1828,0,208,6,,200,2063,1265,,,6,406,386,107,0,91,37,151,2063,532848,,2,
Mar 2018,18,,16,85%,2%,1%,2%,2,10%,0,1,0,1,20%,1,1.05,0%,11,10.67,1,25,15,13.88,,1.29,52,2,2.37,0.09,0,0,50,32.82,11.08,0.94,4.07,0.60,52,NSE - SM : OSWALSEEDS,,,
Mar 2019,126,608.31%,120,90%,4%,1%,1%,6,5%,0,2,0,4,26%,3,1.85,0%,15,15.25,11,24,11,8.78,,1.75,61,2,2.33,0.43,0,0,59,41.50,10.89,4.34,2.10,0.37,61,NSE - SM : OSWALSEEDS,,,
